Test,Control_DV1_%,Best_Treatment_DV1,Best_Treatment_DV1_%,Best_Treatment_DV1_P_Value,Control_DV2_%,Best_Treatment_DV2,Best_Treatment_DV2_%,Best_Treatment_DV2_P_Value
1,53.16%,F,62.42%,0.1214,68.99%,F,71.97%,0.6472
2,60.39%,F,68.15%,0.1901,85.06%,F,88.54%,0.4613
3,59.60%,F,64.20%,0.4714,74.83%,F,75.31%,1.0000
4,65.95%,E,63.52%,0.6476,78.45%,C,80.53%,0.6628
5,67.87%,D,77.78%,0.0231,N/A,N/A,N/A,N/A
6,69.10%,E,68.22%,0.9160,N/A,N/A,N/A,N/A
7,68.12%,F,66.45%,0.8443,71.88%,E,70.62%,0.9017
8,69.43%,B,71.61%,0.7647,66.24%,B,70.32%,0.5140
9,72.34%,C,66.95%,0.2392,N/A,N/A,N/A,N/A
9_filtered,69.12%,B,72.97%,0.7481,73.53%,F,72.73%,1.0000
10,61.95%,C,69.03%,0.3274,81.42%,E,87.18%,0.3072
11,65.94%,B,65.52%,1.0000,N/A,N/A,N/A,N/A
12_filtered,69.05%,F,76.19%,0.3870,64.29%,E,75.64%,0.1612
12,62.09%,F,70.78%,0.1359,62.09%,E,69.59%,0.2112
13,57.89%,D,67.24%,0.1840,57.89%,D,71.55%,0.0424
14,58.47%,D,67.26%,0.2135,65.25%,D,76.11%,0.0960
15,59.48%,C,56.14%,0.7042,62.07%,F,67.77%,0.4335
16,48.74%,B,61.74%,0.0619,47.90%,D,64.60%,0.0151
17,65.08%,B,64.75%,1.0000,60.68%,C,65.20%,0.2921
18,74.14%,E,74.78%,1.0000,33.62%,D,40.34%,0.3520
19,72.50%,E,76.79%,0.5497,56.67%,F,67.52%,0.1124
20,67.08%,B,75.32%,0.1364,73.91%,B,82.47%,0.0894
21,74.03%,B,79.62%,0.3009,N/A,N/A,N/A,N/A
22,72.55%,E,78.21%,0.3067,50.33%,E,60.90%,0.0792
23,58.60%,C,59.09%,1.0000,63.69%,C,55.19%,0.1582
24,51.02%,D,55.77%,0.4758,61.22%,D,62.82%,0.8668
25,52.26%,B,57.23%,0.4401,24.52%,B,32.08%,0.1736
26,66.67%,E,69.83%,0.5282,34.63%,B,47.21%,0.0078
27,71.05%,D,70.04%,0.8941,53.07%,F,58.15%,0.3192
28,60.17%,F,63.40%,0.5337,89.18%,F,92.34%,0.3080
29,60.87%,C,75.00%,0.0017,N/A,N/A,N/A,N/A
30,75.19%,E,76.23%,0.8589,N/A,N/A,N/A,N/A
31,62.98%,C,73.71%,0.0168,N/A,N/A,N/A,N/A
32,54.89%,E,74.34%,0.0000,N/A,N/A,N/A,N/A
33,78.81%,B,77.78%,0.9726,N/A,N/A,N/A,N/A
34,73.09%,D,66.24%,0.1361,N/A,N/A,N/A,N/A
34_filtered,77.03%,D,80.25%,0.7697,66.22%,D,74.07%,0.3715
